organism,sra_run_count,sra_platforms,sra_strategies,sra_total_bases,sra_date_range
Amycolatopsis coloradensis,3,ILLUMINA; OXFORD_NANOPORE,WGS,5162552514.0,2021-2024
Jonesia denitrificans,27,CAPILLARY; ILLUMINA; PACBIO_SMRT,WGA; WGS,9060252377.0,2017-2021
Geomyces sp.,0,,,,
Ketobacter sp.,1,ILLUMINA,WGS,136301668.0,2020-2020
Kibdelosporangium aridum,3,ILLUMINA,WGS,3734604932.0,2016-2024
Acinetobacter pittii,902,ILLUMINA,WGS,1657485764.0,2026-2026
Acidovorax avenae,26,ILLUMINA; PACBIO_SMRT,WGS,5465782265.0,2017-2024
Actinoallomurus spadix,0,,,,
Acinetobacter guillouiae,61,ILLUMINA,WGS,7631193300.0,2026-2026
Acinetobacter sp.,121,DNBSEQ; ILLUMINA; OXFORD_NANOPORE,WGS,11180684615.0,2026-2026
Ureibacillus massiliensis,1,ILLUMINA,WGS,643912924.0,2025-2025
Actinokineospora spheciospongiae,1,ILLUMINA,WGS,937368438.0,2018-2018
Actinomadura keratinilytica,1,ILLUMINA,AMPLICON,51265500.0,2022-2022
Thermomyces lanuginosus,8,DNBSEQ; ILLUMINA,AMPLICON; RNA-Seq,9704597352.0,2015-2025
Cladosporium sphaerospermum,7,ABI_SOLID; DNBSEQ; ILLUMINA,AMPLICON; WGS,2472089189.0,2024-2026
Cladosporium subcinereum,0,,,,
Cladosporium tenuissimum,5,DNBSEQ; PACBIO_SMRT,AMPLICON; WGS,9184115400.0,2019-2026
Caenibacterium thermophilum,19,ILLUMINA,RNA-Seq,9132442112.0,2026-2026
Caldimonas manganoxidans,1,ILLUMINA,WGS,2225386520.0,2013-2013
Clostridium acetobutylicum,309,ILLUMINA,RNA-Seq,7834965704.0,2025-2025
Clostridium sp.,115,ILLUMINA,AMPLICON; WGS,11889357816.0,2025-2026
Penicillium stoloniferum,0,,,,
Perenniporia sp.,0,,,,
Cordyceps fumosorosea,10,ILLUMINA,RNA-Seq; WGS,29192791902.0,2023-2024
Coprinellus bipellis,0,,,,
Crossiella sp.,7,ILLUMINA,AMPLICON,191777683.0,2023-2023
Cupriavidus sp.,28,ILLUMINA,RNA-Seq; WGS,13211541603.0,2025-2026
Pseudomonas lini,8,ILLUMINA; PACBIO_SMRT,WGS,3963836114.0,2025-2026
Pseudomonas litoralis,3,PACBIO_SMRT,WGS,867936649.0,2016-2016
Pseudomonas oleovorans,61,ILLUMINA; OXFORD_NANOPORE,RNA-Seq; WGS,3851843573.0,2025-2026
Pseudomonas pavonaceae,0,,,,
Pseudomonas pseudoalcaligenes,61,ILLUMINA; OXFORD_NANOPORE,RNA-Seq; WGS,3851843573.0,2025-2026
Plesporaceae sp.,0,,,,
Pseudomonas bauzanensis,4,ILLUMINA,WGS,2467649285.0,2016-2024
Proteus mirabilis,5016,ILLUMINA,WGS,2040167026.0,2026-2026
Proteus sp.,44,ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,2396050302.0,2025-2026
Citrobacter koseri,944,ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,1692205900.0,2026-2026
Cladosporium pseudocladosporioides,8,DNBSEQ; PACBIO_SMRT,AMPLICON; WGS,16451362843.0,2025-2025
Colletotrichum fructicola,294,ILLUMINA,RNA-Seq,27508241132.0,2026-2026
Penicillium expansum,197,BGISEQ; DNBSEQ,AMPLICON; RNA-Seq,43066041447.0,2025-2026
Penicillium ochrochloron,2,DNBSEQ; ILLUMINA,WGS,14469526852.0,2024-2024
Paecilomyces sp.,2,DNBSEQ; ILLUMINA,AMPLICON,13102977.0,2021-2025
Paecilomyces variotii,95,DNBSEQ; OXFORD_NANOPORE,AMPLICON; WGS,12430706500.0,2025-2026
Pantoea sp.,109,ILLUMINA,RNA-Seq; WGS,11137295373.0,2026-2026
Didymosphaeriaceae sp.,0,,,,
Delftia tsuruhatensis,61,ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,5824194715.0,2025-2026
Emericella nidulans,1658,ILLUMINA; OXFORD_NANOPORE,AMPLICON; RNA-Seq; WGS,65848595001.0,2026-2026
Bacillus zanthoxyli,0,,,,
Botrytis cinerea,1768,ILLUMINA,RNA-Seq,32631800640.0,2026-2026
