organism,pubmed_plastic_count,pubmed_total_count
Fomitopsis pinicola,68.0,119.0
Fomitopsis sp.,8.0,15.0
Fusarium avenaceum,104.0,221.0
Methylobacterium radiotolerans,29.0,55.0
Meyerozyma caribbica,56.0,95.0
Marinobacter algicola,10.0,23.0
Marinobacter gudaonensis,,6.0
Marinobacter sediminum,2.0,5.0
Massilia sp.,30.0,50.0
Metacordyceps chlamydosporia,,4.0
Lysinibacillus sphaericus,168.0,315.0
Microbispora,68.0,
Microbispora catharanthi,0.0,2.0
Microbispora oryzae,0.0,1.0
Microbispora rosea,11.0,23.0
Metarhizium anisopliae,500.0,1437.0
Metarhizium marquandii,2.0,5.0
Metarhizium robertsii,152.0,340.0
Methylobacterium fujisawaense,10.0,21.0
Niallia circulans,9.0,16.0
Nocardia asteroides,207.0,1463.0
Nocardia farcinica,111.0,
Nocardioidaceae bacterium,36.0,109.0
Nocardioides marinus,4.0,10.0
Nocardioides zeae,3.0,6.0
Neosartorya fischeri,83.0,157.0
Neosetophoma poaceicola,1.0,2.0
Micromonospora echinospora,,70.0
Micromonospora lutea,2.0,5.0
Micromonospora qiuiae,0.0,2.0
Micromonospora rifamycinica,2.0,4.0
Microbispora rosea subsp. Aerata,3.0,6.0
Microbispora triticiradicis,0.0,2.0
Micrococcus lylae,12.0,34.0
Micrococcus mucilaginosus,,4.0
Micromonospora saelicesensis,4.0,16.0
Micromonospora taraxaci,1.0,4.0
Micromonospora viridifaciens,27.0,29.0
Microporus sp.,0.0,1.0
Moesziomyces antarcticus,,90.0
Micromonospora acroterricola,0.0,1.0
Micromonospora carbonacea,16.0,26.0
Micromonospora craterilacus,,2.0
Marasmiellus ramealis,0.0,0.0
Marasmius oreades,39.0,
Monascus sp.,41.0,57.0
Monocillium mucidum,0.0,0.0
Morinia sp.,1.0,2.0
Moritella sp.,,12.0
Mortierella alpina,239.0,321.0
Mortierella lignicola,1.0,1.0
Enterobacter asburiae,108.0,223.0
Enterobacter hormaechei subsp. Xiangfangensis,7.0,18.0
