organism,genus,n_plastics,plastics_degraded,breadth_score,rarity_score,recency_score,evidence_gap_score,novelty_potential,last_year,has_sequence,has_enzyme
Neosetophoma sp.,Neosetophoma,1,['PCL'],4.55,98.82,85.0,0,43.07,2022.0,False,False
Anoxybacillus sp.,Anoxybacillus,1,['PE'],4.55,98.82,85.0,0,43.07,2022.0,False,False
Anoxybacillus flavithermus,Anoxybacillus,1,['PE'],4.55,98.82,85.0,0,43.07,2022.0,False,False
Ketobacter sp.,Ketobacter,1,['PET'],4.55,98.82,85.0,0,43.07,2022.0,True,True
Pleosporales sp.,Pleosporales,1,['PCL'],4.55,98.82,85.0,0,43.07,2022.0,False,False
Geomyces sp.,Geomyces,1,['PBS'],4.55,98.82,85.0,0,43.07,2022.0,True,True
Ketobacter alkanivorans,Ketobacter,1,['PET'],4.55,98.82,85.0,0,43.07,2022.0,True,True
Pyrenochaetopsis microspora,Pyrenochaetopsis,1,['PCL'],4.55,98.82,85.0,0,43.07,2022.0,False,False
Aneurinibacillus aneurinilyticus,Aneurinibacillus,4,"['HDPE', 'LDPE', 'PLA', 'PP']",18.18,98.42,65.0,0,43.06,2018.0,False,True
Gordonia sp.,Gordonia,1,['PS'],4.55,98.42,85.0,0,42.97,2022.0,False,False
Gordonia desulfuricans,Gordonia,1,['PLA'],4.55,98.42,85.0,0,42.97,2022.0,False,False
Agrocybe aegerita,Agrocybe,1,['PE'],4.55,98.42,85.0,0,42.97,2022.0,False,False
Exiguobacterium marinum,Exiguobacterium,1,['PP'],4.55,94.08,90.0,0,42.88,2023.0,False,False
Marinobacter gudaonensis,Marinobacter,1,['PET'],4.55,94.08,90.0,0,42.88,2023.0,False,False
Marinobacter sediminum,Marinobacter,1,['PET'],4.55,94.08,90.0,0,42.88,2023.0,False,False
Shewanella putrefaciens,Shewanella,1,['PS'],4.55,98.03,85.0,0,42.87,2022.0,False,False
Proteus vulgaris,Proteus,1,['HDPE'],4.55,98.03,85.0,0,42.87,2022.0,False,False
Diaporthe sp.,Diaporthe,1,['PCL'],4.55,98.03,85.0,0,42.87,2022.0,False,False
Alternaria burnsii,Alternaria,1,['LDPE'],4.55,93.69,90.0,0,42.79,2023.0,False,False
Alternaria pseudoeichhorniae,Alternaria,1,['LDPE'],4.55,93.69,90.0,0,42.79,2023.0,False,False
Microbacterium radiodurans,Microbacterium,1,['PVC'],4.55,97.63,85.0,0,42.77,2022.0,False,False
Epicoccum dendrobii,Epicoccum,1,['PCL'],4.55,97.24,85.0,0,42.67,2022.0,False,False
Epicoccum sorghinum,Epicoccum,1,['PCL'],4.55,97.24,85.0,0,42.67,2022.0,False,False
Epicoccum sp.,Epicoccum,1,['PCL'],4.55,97.24,85.0,0,42.67,2022.0,False,False
Epicoccum tritici,Epicoccum,1,['PCL'],4.55,97.24,85.0,0,42.67,2022.0,False,False
Epicoccum duchesneae,Epicoccum,1,['PCL'],4.55,97.24,85.0,0,42.67,2022.0,False,False
Paracoccus sp.,Paracoccus,1,['PET'],4.55,97.24,85.0,0,42.67,2022.0,False,False
Pestalotiopsis thailandica,Pestalotiopsis,1,['PCL'],4.55,97.24,85.0,0,42.67,2022.0,False,False
Acidovorax sp.,Acidovorax,5,"['P3HP', 'PES', 'PHA', 'PHB', 'PPL']",22.73,95.27,60.0,0,42.63,2017.0,True,True
Lysinibacillus xylanilyticus,Lysinibacillus,1,['LDPE'],4.55,96.84,85.0,0,42.57,2022.0,False,True
Aureobasidium namibiae,Aureobasidium,1,['PCL'],4.55,96.84,85.0,0,42.57,2022.0,False,False
Aureobasidium melanogenum,Aureobasidium,1,['PCL'],4.55,96.84,85.0,0,42.57,2022.0,False,False
Trichoderma lixii,Trichoderma,1,['PE'],4.55,92.5,90.0,0,42.49,2023.0,False,False
Micrococcus mucilaginosus,Micrococcus,1,['PVC'],4.55,96.45,85.0,0,42.48,2022.0,False,False
Streptococcus mitior,Streptococcus,1,['PVC'],4.55,96.45,85.0,0,42.48,2022.0,False,False
Streptococcus equi,Streptococcus,1,['PVC'],4.55,96.45,85.0,0,42.48,2022.0,False,False
Xerula longipes,Xerula,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Panaeolus sphinctrinus,Panaeolus,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Albosynnema elegans,Albosynnema,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Thelonectria veuillotiana,Thelonectria,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Lenzites warnieri,Lenzites,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Lophiostoma arundinis,Lophiostoma,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Ceriporiopsis gilvescens,Ceriporiopsis,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Calonectria pseudonaviculata,Calonectria,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Cobetia sp.,Cobetia,1,['LDPE'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Hydropisphaera saulensis,Hydropisphaera,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Chrysonectria finisterensis,Chrysonectria,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Pseudonectria foliicola,Pseudonectria,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Stereum sp.,Stereum,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Coprinopsis lagopus,Coprinopsis,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Marasmiellus ramealis,Marasmiellus,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Microporus sp.,Microporus,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Hericium erinaceus,Hericium,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Phlebia radiata,Phlebia,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Haploporus alabamae,Haploporus,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Lepista nuda,Lepista,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Sistotrema brinkmannii,Sistotrema,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Cosmospora sp.,Cosmospora,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Dichomitus squalens,Dichomitus,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Cyathus pallidus,Cyathus,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Podospora anserina,Podospora,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Eutypa sp.,Eutypa,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Dichostereum effuscatum,Dichostereum,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Porodaedalea pini,Porodaedalea,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Fomes meliae,Fomes,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Lasionectria martinicensis,Lasionectria,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Metacordyceps chlamydosporia,Metacordyceps,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Pleospora leptosphaerulinoides,Pleospora,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Massilia sp.,Massilia,1,['PS'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Sclerotinia sclerotiorum,Sclerotinia,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Fuscoporia sp.,Fuscoporia,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Leiotrametes menziesii,Leiotrametes,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Peethambara spirostriata,Peethambara,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Chaetopsina pnagiana,Chaetopsina,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Piptoporus betulinus,Piptoporus,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Grammothele fuligo,Grammothele,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Geonectria subalpina,Geonectria,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Hypomyces luteovirens,Hypomyces,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Gymnopilus junonius,Gymnopilus,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Amylosporus sp.,Amylosporus,1,['PU'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Thyrostroma jaczewskii,Thyrostroma,1,['LDPE'],4.55,99.61,80.0,0,42.27,2021.0,False,True
Acinetobacter baumannii,Acinetobacter,2,"['LDPE', 'PET']",9.09,90.14,85.0,0,42.26,2022.0,False,True
Phanerochaete pseudomagnolia,Phanerochaete,1,['LDPE'],4.55,91.32,90.0,0,42.19,2023.0,False,True
Priestia aryabhattai,Priestia,1,['PET'],4.55,95.27,85.0,0,42.18,2022.0,False,False
Trichothecium sp.,Trichothecium,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Tropicoporus linteus,Tropicoporus,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Laetisaria arvalis,Laetisaria,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Inonotus hispidus,Inonotus,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
