organism,genus,n_plastics,plastics_degraded,breadth_score,rarity_score,recency_score,evidence_gap_score,novelty_potential,last_year,has_sequence,has_enzyme
Streptomyces thermovulgaris,Streptomyces,1,['PHB'],4.55,56.61,0.0,0,15.52,2004.0,False,True
Pseudomonas lemoignei,Pseudomonas,4,"['PCL', 'PHA', 'PHB', 'PHC']",18.18,19.13,25.0,0,15.24,2010.0,False,True
Pseudomonas otitidis,Pseudomonas,1,['PU'],4.55,19.13,45.0,0,15.15,2014.0,False,True
Bacillus mycoides,Bacillus,1,['LDPE'],4.55,29.39,30.0,0,14.71,2011.0,False,True
Bacillus thermoamylovorans,Bacillus,1,['PCL'],4.55,29.39,25.0,0,13.71,2010.0,False,True
Pseudomonas syringae,Pseudomonas,1,['LDPE'],4.55,19.13,35.0,0,13.15,2012.0,False,True
Pseudomonas beteli,Pseudomonas,1,['PHO'],4.55,19.13,35.0,0,13.15,2012.0,False,True
Aspergillus ustus,Aspergillus,3,"['PCL', 'PETG', 'PHB']",13.64,30.18,0.0,0,11.64,2000.0,False,True
Bacillus sphericus,Bacillus,1,['Nylon'],4.55,29.39,10.0,0,10.71,2007.0,False,True
Aspergillus penicillioides,Aspergillus,1,['PHB'],4.55,30.18,0.0,0,8.91,1992.0,False,True
Bacillus smithii,Bacillus,1,['PLA'],4.55,29.39,0.0,0,8.71,2001.0,False,True
Bacillus stearothermophilus,Bacillus,1,['PLA'],4.55,29.39,0.0,0,8.71,2003.0,False,True
Bacillus brevis,Bacillus,1,['PLA'],4.55,29.39,0.0,0,8.71,1999.0,False,True
Pseudomonas veronii,Pseudomonas,2,"['PCL', 'PHC']",9.09,19.13,0.0,0,7.51,1998.0,False,True
Pseudomonas pavonaceae,Pseudomonas,2,"['PCL', 'PHC']",9.09,19.13,0.0,0,7.51,1998.0,False,True
Pseudomonas vesicularis,Pseudomonas,1,['PVA'],4.55,19.13,0.0,0,6.15,1998.0,False,True
Pseudomonas indica,Pseudomonas,1,['P(3HB-co-3MP)'],4.55,19.13,0.0,0,6.15,2004.0,False,True
Pseudomonas amygdali,Pseudomonas,1,['PCL'],4.55,19.13,0.0,0,6.15,1998.0,False,True
Pseudomonas rhodesiae,Pseudomonas,1,['PCL'],4.55,19.13,0.0,0,6.15,1998.0,False,True
